,"Cultivo de cereales, oleaginosas y forrajeras","Cultivo de hortalizas, legumbres, flores y plantas ornamentales",Cultivo de frutas y nueces,Cultivos industriales,Producción de semillas,"Cría de ganado y producción de leche, lana y pelos",Producción de granja,Servicios agropecuarios,Caza,Silvicultura y extracción de madera,Pesca,"Extracción de petróleo, gas, carbón y uranio",Extracción de minerales metalíferos,Extracción de otros minerales,"Matanza de animales, conservación y procesamiento de carnes",Elaboración y conservación de pescado y productos de pescado,"Elaboración y conservación de frutas, legumbres y hortalizas",Aceites y subproductos oleaginosos,Productos lácteos,Molienda de trigo y de otros cereales,Alimentos balanceados,Productos de panadería,Azúcar,"Cacao, chocolate y productos de confitería",Pastas alimenticias,Otros productos alimenticios,Bebidas alcohólicas,Producción vitivinícola,Cerveza y malta,"Gaseosas, agua mineral y otras bebidas no alcohólicas",Productos de tabaco,"Fibras, hilados y tejeduría de productos textiles",Acabado de productos textiles,Fabricación de productos textiles,Tejidos de punto,"Prendas de vestir, terminación y teñido de pieles",Curtido y terminación de cueros,Marroquinería y talabartería,Calzado y sus partes,Aserraderos,Madera y sus productos,Celulosa y papel,Papel y cartón ondulado y envases de papel y cartón,Productos de papel y cartón,"Edición de libros, folletos, grabaciones y otras ediciones",Edición de periódicos y revistas,Impresiones y reproducción de grabaciones,Refinación de petróleo,Química básica,Fertilizantes y plaguicidas,Materias primas plásticas y caucho sintético,Pinturas y barnices,Productos medicinales,"Jabones, detergentes y cosméticos",Otros productos químicos,Fibras sintéticas manufacturadas,"Cubiertas, cámaras y recauchutado de cubiertas",Productos de caucho,Productos de plástico,Vidrio y productos de vidrio,Productos de cerámica refractaria y no refractaria para uso no estructural,Arcilla y cerámica no refractaria para uso estructural,"Cemento, cal y yeso","Artículos de hormigón, cemento y yeso",Industrias básicas de hierro y acero,Metalurgia de no ferrosos,Fundición de metales,"Estructuras metálicas, tanques, depósitos y generadores de vapor","Forja, laminado y tratamiento de metales",Artículos de cuchillería y ferretería y herramientas de mano,Otros productos metálicos,"Motores, turbinas, bombas y compresores","Engranajes, hornos, elevadores y otras maquinarias de uso general",Tractores y maquinaria agrícola,Otra maquinaria de uso especial,Aparatos de uso doméstico,Máquinas de oficina e informática,"Motores, generadores y transformadores eléctricos",Aparatos de control y distribución de energía eléctrica,Hilos y cables aislados,Acumuladores y pilas,Lámparas eléctricas y equipos de iluminación,"Tubos y transmisores de radio, TV y telefonía",Receptores de radio y TV,"Instrumentos médicos, ópticos y de precisión y relojes",Vehículos automotores,Carrocerías y remolques,Autopartes,"Buques, locomotoras y aeronaves","Motocicletas, bicicletas y otros tipos de transportes",Muebles y colchones,Otras industrias manufactureras,Electricidad,Gas,Agua,Construcción,Comercio mayorista,Comercio minorista,Hoteles,Restaurantes,Transporte terrestre de pasajeros,Transporte terrestre de carga,Transporte por tuberías,Transporte marítimo,Transporte aéreo,Actividades de transporte complementarias,Correos,Telecomunicaciones,Instituciones Financieras,Seguros,Servicios a las empresas y profesionales,Actividades inmobiliarias,Administración pública y defensa y planes de la seguridad social de afiliación obligatoria,Enseñanza privada,Salud humana privada,Servicios veterinarios,Servicios de saneamiento,Actividad de asociaciones,"Servicios de cine, radio y televisión","Servicios personales, de reparación, actividades deportivas y de esparcimiento"
Productos de papel y cartón,0.0,1.7937809506813022e-08,0.0,6.319415501082601e-09,0.0,7.2657087143605405e-09,0.0035034980938619675,0.0001843800771234372,0.0,1.9856854770651914e-07,1.2180489024709462e-07,0.0,0.007958450884139972,0.0009257578073073808,0.01865239258288105,0.2545540617038338,0.11160493782109754,0.003235412045752466,0.0,0.0,0.0,0.20916679830401325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010736274979133813,0.05385512855418844,0.0010991695355633414,0.0,0.03489067421717878,0.00044843104069170755,0.0004812849783694596,0.0011007128890100446,0.00835159271187358,0.008196956135142904,0.010591930268184448,0.0004795587431368542,0.0004612174736118655,0.0014511956493449274,3.529711757143121e-06,0.0054885571052731095,0.003088772880718053,2.374611858392434e-05,0.0,0.0,0.005514679861954906,0.0010565002914649914,0.0006556833251594367,0.0034241670540327398,0.013248953258737508,0.007991211161638938,0.01584242303175166,0.012210127582838834,0.0,0.0,0.00214721194380863,0.0041708702159837605,9.721083551612032e-06,0.00013174756244965465,0.0001216387303641684,3.8101311098871693e-05,0.004772629315911613,2.681615231970715e-05,9.771304103693248e-05,5.916584359037833e-05,2.426875876506671e-05,0.002444486014596646,0.0,0.00019097025587474787,0.0001717739563019068,0.0020903399178152783,0.0005175072541663855,0.014291265870979654,0.007904276818261256,0.04390548320647254,0.02711059022910702,0.0018622311434720862,0.0033501456073627067,0.006725265730221789,0.0005936263349284378,0.0883934203871007,0.01586437249802705,2.0992027184014285e-05,0.0004242466206207936,0.00045554648660226736,0.0029136774320585876,0.016109410772298573,0.00076312568043052,0.0019693731117564612,0.015509295146663734,0.050032384008209606,0.002300651275884186,0.0007988876717620686,8.295793699348086e-05,0.0017734934030059078,0.007488933324757062,0.005563734485027149,0.0007500717779377429,0.0034605859385483167,0.002641378510092261,0.013335728957847721,0.008300084675010108,0.0,0.017744205816953743,0.028006804677055047,0.003507708506447192,0.021464836620660253,0.043705765843061725,0.07737965345066408,0.0,0.005822475467789661
"Edición de libros, folletos, grabaciones y otras ediciones",6.865610319270833e-06,1.574939674698183e-05,1.4230219234683107e-05,6.2878184235771875e-06,6.780815805402162e-06,6.287744321407612e-06,7.3510724782571864e-06,6.160954863416575e-06,1.7514760564465702e-06,8.878850776020069e-06,2.2736912846124333e-06,9.461729906551716e-07,1.1500651566676259e-05,1.4103971237271472e-06,2.2801712337092892e-06,2.308371433299785e-05,7.017518990546735e-06,4.8913078956602e-06,4.708264459702357e-06,2.635451572719297e-06,7.851765663560231e-07,1.2710785160426921e-05,3.7211843577187425e-07,4.704555822446978e-06,1.8541953118621233e-05,4.355577493702888e-06,3.237958370108895e-06,1.9801113736489547e-06,2.5709421830700687e-06,8.44871502338349e-06,1.3927255800300293e-05,1.276964646314975e-06,1.1792123146714304e-06,1.3615647005990883e-06,1.993332470549491e-06,1.1919577087683533e-05,1.47368100048714e-06,3.4118203653832152e-06,8.801689302087035e-06,1.2207425079108475e-06,1.2690069302371972e-06,8.04489941248953e-07,9.259545356656666e-07,1.0795741000627686e-06,0.07937890198834745,0.0020445227318445993,0.006702604759817606,0.0,1.4538515517744489e-06,8.20495745020952e-07,9.737530441337124e-07,1.4285140370999848e-06,5.095931171302145e-06,3.109555348744212e-06,2.3628632275611966e-06,7.319479266959474e-07,9.365232282227269e-07,4.34819543256708e-06,1.524583243451764e-06,1.2799776245282914e-06,2.6927028067043294e-06,1.3305060852099553e-06,8.039262307779398e-07,1.3971652957435665e-06,1.6575846502590428e-06,1.3394140128713786e-06,1.0906070003966035e-06,1.7635202928532028e-06,1.1848409142984868e-06,3.6204865750059072e-06,1.8907008745532884e-06,2.0538172064523127e-06,2.896242655195409e-06,5.237930725861053e-06,6.383418972144819e-06,2.3239402429829084e-06,9.185359638978625e-07,5.248296039110979e-06,4.018351600266226e-06,7.74521600304326e-07,5.048208858184268e-06,3.0413343457279392e-06,3.877105023672496e-06,5.617861063491166e-06,5.6949829456751284e-06,2.424235252983739e-06,5.631814763196448e-06,3.899992499569155e-06,1.0537343325000901e-06,2.55743332203011e-05,6.916616916886721e-06,0.022157415151925628,5.380718843936722e-07,5.837149872440094e-07,3.6785031521526273e-06,0.0,0.0007747648733084463,0.0019157609706736884,0.0013325856397032514,0.0027158855128751828,2.3274739122018822e-06,1.007465039231797e-06,1.2241702458457578e-07,2.236919136012353e-06,1.0178908392206767e-05,7.128458154299524e-06,0.0012060522661316907,0.0010524402426984195,0.0005101672497837663,1.703251952135299e-05,0.006406752260972889,0.0019306242524971841,0.0001041515552828814,0.04307393955182775,0.02821960489999603,0.0,0.000491424711799122,0.01622509548834888,7.159377971472423e-06,2.7104094839553283e-06
Edición de periódicos y revistas,0.00023521959195684297,0.0005395513721554289,0.0004872132647626503,0.00021534672203039177,0.00023211361649749836,0.000215633156366535,0.0006578592476734617,0.00021100126099091922,6.188548732777882e-05,0.0003436654222092113,0.001215044381844851,0.0014839699361683233,0.005606019988680073,0.0006931542181720624,0.003652520494925865,0.02569785619769319,0.02092118901613717,0.007661462496922003,0.018715965348768137,0.002910457879853983,0.0029469022552312445,0.03297038084621302,0.0010793915426956166,0.06076172928674692,0.024382509192591047,0.04069933723462172,0.060817492746298676,0.017348641948230197,0.07661106114254251,0.04862136725008184,0.2207227210143899,0.0007250096552283181,0.0006948017225736957,0.0025854799873876112,0.00250817112621403,0.022943517152998524,0.0007668053472534752,0.0061746366790402015,0.02486428102131855,0.0006045116899174517,0.0009864554871813838,0.0009809779694208254,0.0010399804144766035,0.009695598172974247,0.030457374637380196,0.032677731901630654,0.007916460873285425,0.003789137454807082,0.0010334261605059007,0.0048389482467833395,0.0004739989908672619,0.005583194895296419,0.042637602709808695,0.053402784474658696,0.003415242760015929,0.000840309490207252,0.004737215445319019,0.003090068421925891,0.0018327741493057552,0.0010640636846650049,0.0024423649403414994,0.0032811866903397473,0.0013873275704202295,0.001381899426512179,0.0007815972892795067,0.0008755736398120659,0.00043849742039984583,0.0012403845945518207,0.0006040170875979398,0.0027243682576578846,0.002820646462858188,0.00203571156966068,0.003150001313853767,0.015267657121410908,0.004423326930891577,0.012382758940439713,0.0009640034941108067,0.004309485922630974,0.006178828912758837,0.0005034859809008607,0.0035598212969182178,0.002496184109357223,0.00426569520533083,0.015972291126738786,0.006646904717670146,0.012967739417221059,0.006708845870061915,0.00244413760001292,0.0005144263028405278,0.035814485681214994,0.008511940098145147,0.006859388792737502,0.0007792011126434908,0.0010714423509299096,0.00790986368981996,0.0,0.012609334714189919,0.031039176521878337,0.010480532164236172,0.01888836947731225,0.0023278607130239673,0.000768799781872659,5.832491126874011e-05,0.001725175949668041,0.007243267897390539,0.011545491152415682,0.007805735657405825,0.009537654057405108,0.01225121068079377,0.05663523877146278,0.004431967664023115,0.0005428251391754706,0.03751957942640758,0.007462289269155145,0.03168190820653917,0.007603109653615451,0.05386577095446289,0.09868321028618669,0.021436894670855685,0.015344487915760473
Impresiones y reproducción de grabaciones,0.0003370672861042268,0.0007716486893640825,0.0006974034168032195,0.0003085075453473515,0.00032542323440523863,0.0003089844350703821,0.00046447582700244515,0.0002938491681438464,8.874145352662623e-05,0.0004887906636472901,0.0023070252229100544,0.0008239200674859728,0.009817175237344697,0.0011857410104477517,0.0013743672524826457,0.02044577848583619,0.003561987376816664,0.00907521979327188,0.006758794437356848,0.002737813912708205,0.0013704471789178028,0.011114175188162448,0.002311996649346373,0.005036265569862461,0.01934578259695253,0.004152519518907663,0.009157216100532132,0.0013166909818804577,0.0018566157857432158,0.005982419622025156,0.041741949733676946,0.033994605322696984,0.0001900742849711012,0.0005133098921258564,0.000340058793620658,0.0053022093150684405,0.003123339161512451,0.009732786228983187,0.005867001398322333,0.0013300745321431675,0.0006457764766822057,0.001280930825091344,0.030078173252867272,0.0039980719942966664,0.019782920345935925,0.0355732297466983,0.20948085691192964,2.4328955946918768e-06,0.0018730554079763003,0.0015906522113218117,0.001978320432787222,0.000726247169156471,0.008759371678704926,0.005751734811211703,0.0021699696734233734,0.00039684885771042096,0.0005037792575417104,0.001938754709255333,0.0011822876192887765,0.0020309953530229484,0.002868918288054701,0.00249069518503519,0.0022208179052624114,0.00155180943347771,0.0021113789513961183,0.002852379670556169,0.0008536516563488952,0.002529492735480471,0.0012123292235102117,0.0016961692263698313,0.0008177601247206359,0.0010013742659005472,0.0016983932475255368,0.0023103373751180525,0.002654943375543716,0.0015425210886072394,0.0008122154260766849,0.002328973692323554,0.0018309724812707803,0.0004958581166554393,0.003305611057807391,0.0013608361078949495,0.0023875147574346257,0.0027386677060500884,0.0031657658027449175,0.0023612845012507535,0.0025445109410477313,0.0016736249816703972,0.0005302663092581098,0.03255328459686326,0.003163515109253591,0.028829575204456677,0.0004736339328669271,0.0005120520111871178,0.0032442233976602555,0.0,0.015893946690369025,0.038941574286691316,0.004301642374800565,0.008750433229733186,0.0027353353721515745,0.0008889174383180027,0.00010559148465000687,0.001973218325864154,0.010949347080779312,0.006233398468076272,0.0069637866751146365,0.010937700804405408,0.009900038965128127,0.015159547459731675,0.00997407108075133,0.003703144867766176,0.04375140450929199,0.014925981919202743,0.014048199896028363,0.013346465866778203,0.11030549749450068,0.16793785318953686,0.00658146133037907,0.017417570111253517
Refinación de petróleo,0.045336630052391705,0.055602240697886975,0.04793547488646003,0.03036723709650082,0.011716942128337578,0.009567893567899706,0.00785713578360247,0.10770638049907104,0.012409207859923952,0.03681435344237016,0.2613025092254009,2.2732727697559318e-07,0.05306373250360696,0.08816690917164159,0.005265721780656426,0.05276617475863313,0.011028767933138202,0.010757077200471964,0.009029826338197308,0.0056734005168602095,0.0013203977812166518,0.01704139830818815,0.02008067676534909,0.02432216798272117,0.010791177977443753,0.006672732819867869,0.0028388800009929737,0.005880432290160813,0.0047838806671476304,0.014403904254541916,0.011702644518044633,3.8931848973017535e-07,0.0011553332652993339,0.0022742788484506828,0.0014183212552599527,0.003608818837375417,0.004930759785909912,0.0026308925928621688,0.006191804202614232,0.00903985404570053,0.006141626940345965,0.0035602092887895708,0.0016751435162794819,0.0012902956004571258,7.04336212149441e-05,0.00029887169098034144,0.0005089533527223993,0.06122799548904545,0.03375143356132973,0.013165311095810109,0.01943704217686416,0.005634352090608631,0.0016968535363698783,0.008688185100635511,0.0007386266283688495,0.0021209854694030296,0.0028921476203167197,0.014588121978034881,0.000698706986331937,0.0011152993604354089,0.012206042696455892,0.004442254656569892,0.013975295075178482,0.00475361225321612,0.0016048841716747744,0.022073672972315744,0.007844631287795037,0.003344604411410742,0.001969872072578378,0.003003605468260324,0.0014148725486103266,0.0031144025854324955,0.0028163569718613296,0.011947355607899437,0.006012033421346071,0.0035312617131765343,4.5926798194893127e-07,0.015366375927996088,0.0008718554019440785,0.0006445897342653941,0.003956786103044829,0.0010862930674858853,0.0008340988715213409,0.0014363525617683824,0.006543893579608752,0.006294497974428792,0.00466079009370912,0.0051715998870492715,0.0008860885993423338,0.012854417634544674,0.005328471098024189,0.0019731876106880955,0.014805161278524673,0.00083065513414268,0.007427806670857275,0.041903499076888694,0.01131796733275995,0.025864829600346247,0.004313237186343176,0.004347628626493208,0.21466529307914964,0.1424280370053864,0.0,0.09447001633590088,0.19804091386961453,3.162180423326785e-08,0.006777589427837508,0.0011675379169349385,0.0003295897797720054,0.0020008125142645743,0.0062125233191657305,1.4598068957768604e-06,0.027870739333398252,0.0014765226901489814,0.04173211347866258,1.8232876867183337e-06,0.991482580162287,0.03610087092202048,0.00998419716785892,0.0014849643746767283
Química básica,0.005434728293948755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.491740187083379e-06,0.0014881908507435187,0.02523325101239962,0.01663811159735153,2.3635921325035314e-06,0.0,0.0,0.0,0.13316019130723583,0.0,0.0,0.0,0.008255472305494749,0.0,0.0,0.0032790715251158125,0.0,0.00332777794394097,0.011425217620367557,0.10213005781717054,0.02825822346424775,0.006259935050982632,0.05222986837681278,0.0033766087961857078,0.0072406591089807576,0.0,0.07994927707890803,0.0,0.03084922505628885,0.026616697606676183,0.0,0.03483331742434159,0.022075456852620808,0.027004216532336398,0.0,0.0025806116157177624,0.004610842777576956,0.0157569258580825,0.07677506768690674,0.10055265796240026,0.13120881258359324,0.03206406309367126,0.0016055692363761633,0.02732221496270613,0.005633960289278941,0.09202458559853195,0.017035755543743397,0.02418805311441095,0.012487682666885476,0.001024274665936811,0.00036848281121512806,0.0,0.0,0.0,0.011006347198145085,0.001300401954244057,0.004194642309217705,0.0,0.000444730037181937,0.0003194265271863678,0.0,1.4813702829517746e-05,0.0005342161755799027,0.0,0.0,0.006902792800939332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013074918032349253,0.0,0.00511709405495418,0.011048608424843929,0.0,0.034571364761324434,1.1330029664535446e-05,0.0011530111808435832,0.0,0.041779421804219244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024623373550491278,9.054070273890756e-07,0.027768937045199657,0.00731758280187536,0.0,0.015517887177589224,0.0,0.0013823146992746449
Fertilizantes y plaguicidas,0.11145512767571417,0.044014326067438235,0.2744673162778104,0.07217166833763598,0.03315171605600853,0.0042888693844329116,0.007203639434488333,0.0008905738068020129,0.0007691899014561188,0.00016569126959339685,6.009041252190001e-06,0.0,0.0,0.0,0.0,0.002526778884296611,0.0018935020616242728,0.002375821121258213,0.00012580870502504446,0.0,2.2433616181600662e-08,0.003151111503173858,0.0003364446817292106,3.856193297087687e-05,0.001372422847569707,4.5079037011329345e-05,0.0,0.0011077546146287859,3.9552956662616445e-06,4.452290470955689e-06,0.0,0.0007786369794603507,0.0038243575049420053,1.1955493555260417e-05,0.0,2.574628650939643e-06,0.006215829267414705,0.015403989858553508,0.0,0.0,1.5016582007806831e-06,6.947867674422774e-07,6.039559313711195e-06,0.0,0.0,0.0,0.0,0.0,0.0022346672581194573,0.07997198603754932,6.740064548960306e-05,0.0004370550405638855,0.0024848843658075133,3.489504142918895e-05,0.000490283078301997,4.005751380645094e-05,0.0,7.1978602358313815e-06,4.766121040678201e-05,1.3640904398544365e-05,4.821816653865892e-06,0.0,0.0,8.824201867854105e-08,2.6307088524757517e-06,0.0,0.0,0.0,4.74528786176544e-05,0.0,2.9262231996932435e-06,0.0,0.0,3.2338528829229106e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4971716171649078e-05,0.0,0.0,1.8523155471052021e-06,5.09871451209721e-06,0.0,0.0,0.0,0.0,0.0,1.9258045914210813e-06,0.0,0.0,0.0,2.6166006302082615e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7828909428211553e-05,0.0,0.00824762216892815,4.72773369468329e-05,8.089571711961531e-05,0.0006808156222206258,0.0,3.638944543144673e-05,9.198344288829666e-08,0.0
Materias primas plásticas y caucho sintético,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06949159890692631,0.0,0.0,0.00046456319859356605,0.0,0.14516601603078283,0.004048249556972199,0.023918249671149194,0.0031586469156910024,0.003109271911437771,0.012220256071567355,0.0006826508108073151,0.0,0.0027041977822334774,0.0,0.0,0.0005786546241760265,0.12683687310087727,0.015806098000910526,0.0,0.003886944185930265,0.0006730737359294532,0.06821641557581196,0.013770965330916854,0.05323257377155741,0.1970402153964622,0.01664748041158814,0.0,0.0,0.0,0.0,0.0,1.9506029313660853e-05,0.002175897291666273,0.0,0.0017905908317335884,0.0014539222780760497,0.0,0.005685723463592878,0.012957480331876227,0.004402685737592879,0.0,0.01352174276190404,0.0,0.006090943828164693,0.05753057066725997,0.08364983493536476,0.030922693617136905,0.023768278374692316,0.07597359971673025,0.0,0.030023663549576852,0.0,0.033384186006722535,0.023227349577976675,0.0,0.0,0.0027446892527328254,0.00023283210960620344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00042089931524583776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1055036450872728e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pinturas y barnices,0.00012843740305383457,0.00027432292078769156,0.0002506481374164183,0.00011222018046822483,0.00012036297581176746,0.00011208082262772569,0.00014682388434736303,0.00012877585744974882,3.152656901603827e-05,0.00017474032198173682,0.026400479131716274,0.0005199527782673108,0.0059655522626573575,0.0007169966457398309,0.0006432227987886333,0.012978374466144714,0.0018052567603181475,0.001251591626886067,0.0015472305131910215,0.0006859091054991928,0.0002238201886438298,0.003920801360650425,8.38258796315442e-05,0.000993741012659497,0.005121637599834094,0.001234056488912574,0.0009395475870599312,0.0005488231768851491,0.0006795197954637505,0.0024277595357121108,0.003596445978585237,0.0002520499811645119,0.009282661073400611,0.0009663287438251847,0.0005641317184409316,0.003369306855375504,0.0072975111217722655,0.0,0.0017775727962135869,0.0003911607778920044,0.006795976263845773,0.00023305829813151483,0.006874495021100752,0.005085225840935665,0.00032615968307119826,0.003679966910365619,0.017139547825578,0.0,0.0,0.0,0.0,0.05958618922464602,0.0,6.150117438188161e-05,0.0,0.0,0.0,0.0,0.005074144868916472,0.0,0.0,0.03403554189449956,0.0003003626918851607,0.006795606100453125,0.0011540360263792722,0.0028318073116400276,0.0026629581834010873,0.014626914433541912,0.01433019173258591,0.0,0.004478337361631529,0.0020688348343945277,0.003407204532951558,0.025619812313555288,0.007935325199308285,0.018920532058065372,0.0,0.008842532326540852,0.0,0.0,0.005209356464431177,0.013250521257871553,0.0020368159467219304,0.0002592128569577051,0.00502125571795092,0.0235358250383242,0.016126951085193672,0.004232569967565811,0.005880245472511471,0.12337626663989255,0.05707847535915426,0.0065578841144423635,0.00029280142431932374,0.0003250239878152463,0.002062861291219521,0.12986942473827248,0.00022330888911030046,0.0025478135548985953,0.003586934266413118,0.007295348578165726,0.0015719051891164252,0.0005657229594881445,0.0,0.001255614667031391,0.005265834465105222,0.0038045547893225977,0.0015086393392773894,0.002428563546415005,0.0018360664675730282,0.009200817705127666,0.001183757087527827,0.0,0.011072454704238779,0.0,0.002385867218755318,0.0,0.009917213556166083,0.0041577463062094245,0.0036577599328876534,0.0006298174804977292
Productos medicinales,0.007577369546463717,0.0,0.0736045822483609,0.018958246503247803,0.0,0.025646434681713147,0.02346435169842249,0.0,2.043388732520999e-06,1.0949637059245197e-05,0.0001025191159579713,0.0,1.095300149207263e-06,0.0,0.0,0.0,0.0029434281653949227,0.0,0.0,0.0,0.00011593692842651222,0.00027115636695812577,1.369395843640497e-05,0.0,0.00028863375090660605,0.0006191822322332275,0.0,0.0,0.0,0.009932664956906083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04253631726345933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.921685301405972e-09,0.0,3.16134888546764e-05,0.0,0.0,0.0,0.0022105205661538782,0.006617232248830641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1628596217591093e-06,0.0003091983618393692,0.0,0.00998669525422698,0.023000235798170166,0.2211838688578041,0.9358585624689357,0.0,0.028756351907662365,6.745452478475089e-07,0.0018005052832515188
"Jabones, detergentes y cosméticos",0.0008645672045566692,0.0013248507345541961,0.0011100797746090296,0.0008605843223529297,0.0004574743793166271,0.00015733165650076315,0.0002398277106176314,0.000968871944910188,2.5688315494549697e-05,0.0028677553329129355,0.007398023017307703,3.204495407961357e-05,0.0,0.0,0.002032852103326873,0.0532360171288263,0.0045971766907071665,0.001122310596659233,0.04943495601064205,0.0,0.0020428499567289194,0.013824744836275252,0.0003357500606491031,0.0015249702012662967,0.006904689108743223,0.0013350559047296678,0.0,0.00136545987878949,0.001883165707902997,0.0033378806465224177,0.0024013802981825466,0.0008426461300851879,0.006122961676238514,0.0006934305697551095,0.0035488955978705467,0.013356267553216204,0.02412101412517344,0.00425946818060509,0.00367337479570358,0.00047369459754590065,0.0042200472963112926,0.0006905936683545556,0.0014445307853022088,0.0005210365525039783,0.0006321452650558806,0.001284326162086461,0.004825010348402542,0.000315059979512598,0.009525073311213906,0.012428794955055106,0.014779644872405925,0.0,0.007330870793252557,0.2406545034854423,0.00799395274843282,6.743902033694025e-05,0.0018870708917880891,0.0024170316407618217,0.0008226321667479158,0.0010805022544428753,0.0018102059907210298,0.0,0.0005298666464152742,0.0016634355871060643,0.001750915296222102,0.00019763508900601175,0.0005164024146877917,0.0006673538685362131,0.002182965711014961,0.0016091434564743188,0.0013557663305012147,0.0007220842579819894,0.0,0.0025762876143206846,0.0016430096767336617,0.0008541055625695599,0.0008400011389845953,0.002887578620744415,0.002889448591218802,0.0,0.0040642471055216565,0.0005859398970075381,0.00217919366901982,0.0007025491321512405,0.003986237339452969,0.0017610409666176312,0.0032844886276550624,0.001691424576380861,0.00045133820861084504,0.004133570006422,0.003003705577513222,0.0,0.0002995407746713545,0.0,0.0,0.0011814505905951452,0.000432350380499272,0.0002571427452154137,0.05629547570126532,0.060453219286456396,0.00035314248158402936,0.00015683280118311432,4.0778471078284245e-05,0.00029067166373097653,0.0012730132665827953,0.0008834951406750847,0.00035039691373459753,0.000577026325536723,0.00023758167639347465,0.002211717075714918,0.007771080467437787,0.0007539044824173941,0.013076551590944679,0.015310266841860914,0.00546818019423865,0.12609237723530511,0.0,0.045053993518566475,1.1482599787222367e-05,0.045722040237973174
Otros productos químicos,0.0,0.0,0.0,0.002450460790608297,0.0,0.0002330577790053144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020570799157909724,0.0,0.0,0.0004932884012773311,0.013451543883551282,1.1364837679035375e-05,0.0,0.0036147484953317262,0.0,0.003535126643172166,0.0008446536068714409,0.0032295417067311366,0.0,0.0021336738571018704,0.00018832151490988256,0.0007133237937818187,0.0,0.0,0.02084414994490376,0.00019736716383684155,0.004657318856424043,0.0015530016987542875,0.02237122425243503,0.0,0.012281426933144702,0.015150321360465208,2.478088533213193e-05,0.025874809980390073,0.008649608259501111,0.018955718881858968,0.0,0.002944057582499407,0.013758999171149344,0.0,0.0637948637043397,0.0005031596918188145,0.11564857057886604,0.03905860643935956,0.0012959075026853003,0.1038379259328015,0.07494853098695273,0.08256958171471643,0.05305762308016543,0.016360515221361716,0.010900846767920651,0.0009142697318059225,0.021620963254939153,0.003591145782282283,0.007812826860411832,0.008331679040599829,0.0,5.52930910944573e-05,0.0,0.0,0.0,0.0005413297890110684,2.1292200618046264e-06,0.0,0.0,0.0,0.0,0.0027388210996286987,0.0,0.0004266356780180538,0.0,0.0016675450054552138,0.013080128638897098,0.0037766574297168204,0.0029744563288754667,0.0,0.0,0.0,0.007854741952386213,0.0,0.011048608424843929,0.0,0.028907547530401347,0.0,0.0003819695439898623,5.897435190794803e-05,0.0,9.039705673347184e-05,0.0,0.0,3.571659860234277e-05,0.0005212044317487528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006409358598260344,0.0,0.01254442330146056,2.7313111992903782e-06,0.005885866553561045,0.0,0.0,0.004919247824731672,3.066114762943222e-07,0.0
