,"Cultivo de cereales, oleaginosas y forrajeras","Cultivo de hortalizas, legumbres, flores y plantas ornamentales",Cultivo de frutas y nueces,Cultivos industriales,Producción de semillas,"Cría de ganado y producción de leche, lana y pelos",Producción de granja,Servicios agropecuarios,Caza,Silvicultura y extracción de madera,Pesca,"Extracción de petróleo, gas, carbón y uranio",Extracción de minerales metalíferos,Extracción de otros minerales,"Matanza de animales, conservación y procesamiento de carnes",Elaboración y conservación de pescado y productos de pescado,"Elaboración y conservación de frutas, legumbres y hortalizas",Aceites y subproductos oleaginosos,Productos lácteos,Molienda de trigo y de otros cereales,Alimentos balanceados,Productos de panadería,Azúcar,"Cacao, chocolate y productos de confitería",Pastas alimenticias,Otros productos alimenticios,Bebidas alcohólicas,Producción vitivinícola,Cerveza y malta,"Gaseosas, agua mineral y otras bebidas no alcohólicas",Productos de tabaco,"Fibras, hilados y tejeduría de productos textiles",Acabado de productos textiles,Fabricación de productos textiles,Tejidos de punto,"Prendas de vestir, terminación y teñido de pieles",Curtido y terminación de cueros,Marroquinería y talabartería,Calzado y sus partes,Aserraderos,Madera y sus productos,Celulosa y papel,Papel y cartón ondulado y envases de papel y cartón,Productos de papel y cartón,"Edición de libros, folletos, grabaciones y otras ediciones",Edición de periódicos y revistas,Impresiones y reproducción de grabaciones,Refinación de petróleo,Química básica,Fertilizantes y plaguicidas,Materias primas plásticas y caucho sintético,Pinturas y barnices,Productos medicinales,"Jabones, detergentes y cosméticos",Otros productos químicos,Fibras sintéticas manufacturadas,"Cubiertas, cámaras y recauchutado de cubiertas",Productos de caucho,Productos de plástico,Vidrio y productos de vidrio,Productos de cerámica refractaria y no refractaria para uso no estructural,Arcilla y cerámica no refractaria para uso estructural,"Cemento, cal y yeso","Artículos de hormigón, cemento y yeso",Industrias básicas de hierro y acero,Metalurgia de no ferrosos,Fundición de metales,"Estructuras metálicas, tanques, depósitos y generadores de vapor","Forja, laminado y tratamiento de metales",Artículos de cuchillería y ferretería y herramientas de mano,Otros productos metálicos,"Motores, turbinas, bombas y compresores","Engranajes, hornos, elevadores y otras maquinarias de uso general",Tractores y maquinaria agrícola,Otra maquinaria de uso especial,Aparatos de uso doméstico,Máquinas de oficina e informática,"Motores, generadores y transformadores eléctricos",Aparatos de control y distribución de energía eléctrica,Hilos y cables aislados,Acumuladores y pilas,Lámparas eléctricas y equipos de iluminación,"Tubos y transmisores de radio, TV y telefonía",Receptores de radio y TV,"Instrumentos médicos, ópticos y de precisión y relojes",Vehículos automotores,Carrocerías y remolques,Autopartes,"Buques, locomotoras y aeronaves","Motocicletas, bicicletas y otros tipos de transportes",Muebles y colchones,Otras industrias manufactureras,Electricidad,Gas,Agua,Construcción,Comercio mayorista,Comercio minorista,Hoteles,Restaurantes,Transporte terrestre de pasajeros,Transporte terrestre de carga,Transporte por tuberías,Transporte marítimo,Transporte aéreo,Actividades de transporte complementarias,Correos,Telecomunicaciones,Instituciones Financieras,Seguros,Servicios a las empresas y profesionales,Actividades inmobiliarias,Administración pública y defensa y planes de la seguridad social de afiliación obligatoria,Enseñanza pública,Enseñanza privada,Salud humana pública,Salud humana privada,Servicios veterinarios,Servicios sociales,Servicios de saneamiento,Actividad de asociaciones,"Servicios de cine, radio y televisión","Servicios personales, de reparación, actividades deportivas y de esparcimiento"
Pesca,0.00,0.00,0.00,0.00,0.00,0.00,45.22,0.00,0.00,0.00,25609.24,0.00,0.00,0.00,0.00,219785.30,0.00,0.00,0.00,0.00,122.37,0.00,0.00,0.00,0.00,6.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,197.09,0.00,0.00,0.00,0.00,122.04,0.00,0.00,166.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.15,192.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,13.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Extracción de petróleo, gas, carbón y uranio",2.44,81.46,58.24,34.33,0.00,0.00,0.00,0.00,0.00,33.94,3.29,315279.36,0.00,0.00,0.00,25.46,0.00,440.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,360.06,0.00,0.00,0.00,3191639.76,19226.12,19595.22,1293.74,130.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,322.98,0.00,0.00,0.00,1010.64,30120.05,0.00,543.73,0.86,39.81,0.00,0.00,0.00,0.00,20.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.64,0.00,0.00,0.00,0.00,89.60,0.00,0.00,0.00,521836.70,774748.08,3.98,51.25,0.00,0.00,0.00,0.00,1200.69,0.00,3239.44,0.00,0.00,0.73,0.00,0.00,0.00,0.00,0.26,0.00,346.59,143.14,302.97,468.45,0.00,0.00,0.00,0.00,0.00,0.00,49.50
Extracción de minerales metalíferos,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33000.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,443.55,0.00,0.00,0.00,0.00,320.07,0.00,0.00,0.00,0.00,4.79,0.00,0.00,1325.33,0.00,900.10,0.00,0.00,458.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.26,0.37,0.00,31.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Extracción de otros minerales,0.00,772.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.41,97799.07,0.00,32064.38,315.77,0.00,717.91,314.45,0.00,942.29,0.00,0.00,1151.90,0.00,0.00,67.80,0.00,4150.06,820.53,762.90,0.00,0.00,1565.75,2837.28,0.00,0.00,0.00,0.00,0.00,0.00,119.07,2440.14,0.00,0.00,0.00,0.00,0.00,0.00,21648.51,0.00,4.11,5948.45,221.94,13823.75,1560.00,1.54,878.95,1672.68,1746.81,16254.53,55157.51,69089.03,53975.08,49468.24,12135.76,4361.74,15511.04,2.01,210.58,0.00,3076.82,57.72,1030.00,0.00,0.00,0.00,0.00,14.04,62.33,0.00,0.00,0.00,0.00,0.00,160.67,0.00,0.00,6045.54,201.21,0.00,0.00,0.00,0.00,0.00,0.00,852626.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1363.07,1249.33,2644.25,993.81,0.00,0.00,0.00,0.00,0.00,0.04,0.30
"Matanza de animales, conservación y procesamiento de carnes",0.00,0.00,0.00,0.00,0.00,882.79,11587.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1058681.38,1216.52,0.00,0.00,83.93,0.00,45126.81,69369.44,0.00,3808.88,38072.80,2606.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41355.66,582928.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.82,0.00,0.00,0.00,0.00,22569.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12818.69,479069.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,76040.98,10055.66,21283.80,12935.61,17550.05,0.00,9142.49,0.00,0.00,2.57,102.72
Elaboración y conservación de pescado y productos de pescado,0.00,0.00,0.00,0.00,0.00,0.91,335.50,0.00,0.00,0.00,332.20,0.00,0.00,0.00,0.00,12484.03,0.00,0.00,0.00,0.00,1842.75,1128.08,0.00,0.00,0.00,286.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,478.77,9239.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.93,933.00,709.65,48.29,297.87,0.00,31.05,0.00,0.00,0.00,0.02
"Elaboración y conservación de frutas, legumbres y hortalizas",0.00,0.00,0.00,0.00,0.00,0.00,1267.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,208.62,72720.58,0.00,0.00,207.54,4715.13,4752.35,0.00,2133.71,6111.51,11678.62,0.00,416.30,0.00,23524.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6905.74,147997.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,164.71,154.53,327.95,137.12,790.63,0.00,785.66,0.00,0.00,0.00,0.10
Aceites y subproductos oleaginosos,0.00,0.00,0.00,0.00,0.00,4702.38,10214.53,0.00,0.00,0.00,3.96,0.00,0.00,0.00,20417.13,2339.60,0.00,232355.89,629.47,155.65,54325.34,78268.20,0.00,3808.88,21961.07,984.48,0.00,173.46,0.00,1527.85,0.00,23793.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,143.27,8.36,9670.52,7489.84,842.46,0.00,5722.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.46,0.00,0.00,2325.69,45995.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,304.64,551.55,1168.67,56.49,955.91,0.00,640.61,0.00,0.00,0.00,0.00
Productos lácteos,0.00,0.00,0.00,0.00,0.00,5681.88,452.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,244761.66,0.00,600.55,54406.87,0.00,34129.66,22812.82,6751.64,147.20,0.00,0.00,2807.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16070.75,455078.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17803.12,13235.03,35212.22,3985.90,9542.57,0.00,4653.25,0.00,0.00,0.54,21.50
Molienda de trigo y de otros cereales,0.00,0.00,0.00,0.00,0.00,10444.38,1939.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6644.64,45027.84,3356.51,33638.27,35746.61,2686.24,728691.77,1959.94,259.49,99599.83,4844.90,0.00,1120.04,12592.20,54023.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7015.10,3238.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2174.03,85294.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,788.26,0.00,0.00,61.70,356.18,0.00,614.61,0.00,0.00,0.00,0.00
